FUND CODE,FUND NAME,SUBFUND CCY,NAV DATE,ACC NUMBER,INTERNAL NUMBER,ISIN CODE,INSTRUMENT NAME,CURRENCY,QUANTITY,MARKET VALUE IN FD CCY,MARKET VALUE IN SEC CCY,TNA,% NAV,%PORTFOLIO,ID BLOOMBERG,NEXT COUPON DATE,VALUATION PRICE,MARKET PRICE,LAST COUPON DATE,ACCRUED INT FD CCY,ACCRUED INT.,NUMBER OF ACCRUED DAYS,INVESTMENT TYPE,GEOGRAPHICAL SECTOR,ECONOMIC SECTOR CODE,ECONOMIC SECTOR LABEL
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151231,268203  00,,,Marketing Expenses,EUR,0.00,-368.94,-368.94,43880756.06,            -0.00,-0.000841,,99991231,100.000000,-0.000840779,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151231,268100  00,,,Directors Fees,EUR,0.00,-332.22,-332.22,43880756.06,            -0.00,-0.000757,,99991231,100.000000,-0.000757097,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151231,268120  00,,,Audit Fees,EUR,0.00,-8000.00,-8000.00,43880756.06,            -0.02,-0.018231,,99991231,100.000000,-0.018231226,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151231,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,1668610.50,1668610.50,43880756.06,             3.80,3.802602,,99991231,100.000000,3.802601983,99991231,             0.00,0.00,,,,,450 CASH
LU1737,Shelter-Invest Real Estate Low Vol Fd,GBP,20151231,151200  00,,,Income on Shares Port.,EUR,0.00,3745.37,2760.43,43880756.06,             0.01,0.008535,,99991231,100.000000,0.008535336,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151231,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-55.62,-55.62,43880756.06,            -0.00,-0.000127,,99991231,100.000000,-0.000126753,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151231,264293  00,,,Managment Fee I,EUR,0.00,-29515.13,-29515.13,43880756.06,            -0.07,-0.067262,,99991231,100.000000,-0.067262127,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264176  00,,,Performance Fee,EUR,0.00,-34793.22,-34793.22,44085016.38,            -0.08,-0.078923,,99991231,100.000000,-0.078923006,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,120145  00,,,Amort. Formation expenses,EUR,0.00,-771.20,-771.20,44085016.38,            -0.00,-0.001749,,99991231,100.000000,-0.001749347,99991231,             0.00,0.00,,,,,650 PREPAID EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,268204  00,,,Marketing Expenses,EUR,0.00,-144.98,-144.98,44085016.38,            -0.00,-0.000329,,99991231,100.000000,-0.000328865,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264175  00,,,Performance Fee,EUR,0.00,-432.82,-432.82,44085016.38,            -0.00,-0.000982,,99991231,100.000000,-0.000981785,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264136  00,,,Transfer Agency Fee,EUR,0.00,-68.86,-68.86,44085016.38,            -0.00,-0.000156,,99991231,100.000000,-0.000156198,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264156  00,,,Domiciliary Agency Fee,EUR,0.00,-218.71,-218.71,44085016.38,            -0.00,-0.000496,,99991231,100.000000,-0.000496110,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,267100  00,,,Subscription tax,EUR,0.00,-514.43,-514.43,44085016.38,            -0.00,-0.001167,,99991231,100.000000,-0.001166904,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264155  00,,,Domiciliary Agency Fee,EUR,0.00,-544.97,-544.97,44085016.38,            -0.00,-0.001236,,99991231,100.000000,-0.001236180,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264293  00,,,Managment Fee I,EUR,0.00,-28551.52,-28551.52,44085016.38,            -0.06,-0.064765,,99991231,100.000000,-0.064764680,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264135  00,,,Transfer Agency Fee,EUR,0.00,-172.16,-172.16,44085016.38,            -0.00,-0.000391,,99991231,100.000000,-0.000390518,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,264528  00,,,Financial Statements,EUR,0.00,-2931.82,-2931.82,44085016.38,            -0.01,-0.006650,,99991231,100.000000,-0.006650377,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,268203  00,,,Marketing Expenses,EUR,0.00,-356.89,-356.89,44085016.38,            -0.00,-0.000810,,99991231,100.000000,-0.000809549,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,268100  00,,,Directors Fees,EUR,0.00,-324.50,-324.50,44085016.38,            -0.00,-0.000736,,99991231,100.000000,-0.000736078,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,268120  00,,,Audit Fees,EUR,0.00,-7813.95,-7813.95,44085016.38,            -0.02,-0.017725,,99991231,100.000000,-0.017724730,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,GBP,20151230,151200  00,,,Income on Shares Port.,EUR,0.00,3751.82,2760.43,44085016.38,             0.01,0.008510,,99991231,100.000000,0.008510420,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151230,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-302.73,-302.73,44085016.38,            -0.00,-0.000687,,99991231,100.000000,-0.000686696,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,NOK,20151230,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-0.26,-2.49,44085016.38,            -0.00,-0.000001,,99991231,100.000000,-0.000000590,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,SEK,20151230,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-0.21,-1.96,44085016.38,            -0.00,-0.000000,,99991231,100.000000,-0.000000476,99991231,             0.00,0.00,,,,,600 RECEIVABLES
