===============================================================================
"EXTENSION NAME","linecount"
"EXTENSION VERSION","0.1.7"
-------------------------------------------------------------------------------

"count time","2018-10-30 18:24:03"
"count workspace","c:\Users\sroyer\Source\Repos\Etl.Net"
"total files","296"
"total code lines","14301"
"total comment lines","499"
"total blank lines","1273"


"filename","code","comment","blank"
"src\Paillave.Etl\Core\Aggregation\Visitors\AggregationDescriptorVisitor.cs","16","0","1"
"src\Paillave.Etl\Core\Aggregation\Visitors\ConstantVisitor.cs","15","0","1"
"src\Paillave.Etl\Core\Aggregation\Visitors\EqualityAggregateVisitor.cs","22","0","1"
"src\Paillave.Etl\Core\Aggregation\Visitors\FilterAggregateVisitor.cs","21","0","1"
"src\Paillave.Etl\Core\Aggregation\Visitors\GetValueAggregatorVisitor.cs","29","0","1"
"src\Paillave.Etl\Core\Aggregation\Visitors\NewInstanceVisitor.cs","25","0","1"
"src\Paillave.Etl\Core\Aggregation\Visitors\ValueAggregatorVisitor.cs","34","0","1"
"src\Paillave.Etl\Core\Aggregation\Visitors\ValueToAggregateVisitor.cs","22","0","1"
"src\Paillave.Etl\Core\ErrorManagementItem.cs","39","0","1"
"src\Paillave.Etl\Core\ErrorRow.cs","28","0","6"
"src\Paillave.Etl\Core\IConfigurable.cs","10","0","1"
"src\Paillave.Etl\Core\IErrorManagementItem.cs","13","0","1"
"src\Paillave.Etl\Core\IExecutionContext.cs","23","0","1"
"src\Paillave.Etl\Core\INodeContext.cs","11","0","1"
"src\Paillave.Etl\Core\ITracer.cs","13","0","1"
"src\Paillave.Etl\Core\JobExecutionException.cs","12","0","1"
"src\Paillave.Etl\Core\Mapping\IFieldMapper.cs","21","0","3"
"src\Paillave.Etl\Core\Mapping\MappingProcessor.cs","17","4","2"
"src\Paillave.Etl\Core\Mapping\MappingSetterDefinition.cs","62","1","3"
"src\Paillave.Etl\Core\Mapping\Visitors\MapperVisitor.cs","18","0","1"
"src\Paillave.Etl\Core\Mapping\Visitors\MappingSetterVisitor.cs","113","0","17"
"src\Paillave.Etl\Core\Mapping\Visitors\NewInstanceVisitor.cs","24","0","2"
"src\Paillave.Etl\Core\ObjectBuilder.cs","59","0","2"
"src\Paillave.Etl\Core\StreamNodeBase.cs","157","0","9"
"src\Paillave.Etl\Core\Streams\IKeyedStream.cs","11","0","2"
